"Country","Region","Happiness Rank","Happiness_Score","Economy","Family","Health (Life Expectancy)","Freedom","Trust (Government Corruption)","Generosity","Dystopia Residual","Happiness"
"El Salvador","Latin America and Caribbean","46","6.068","0.8737","0.80975","0.596","0.37269","0.10613","0.08877","3.22134","1"
"El Salvador","Latin America and Caribbean","42","6.13","0.76454","1.02507","0.67737","0.4035","0.11776","0.10692","3.035","1"
"El Salvador","","40","6.167","0.806","1.231","0.639","0.461","0.082","0.065","","1"
"El Salvador","","35","6.253","0.794","1.242","0.789","0.43","0.074","0.093","","1"
"Estonia","Central and Eastern Europe","73","5.429","1.15174","1.22791","0.77361","0.44888","0.15184","0.0868","1.58782","0"
"Estonia","Central and Eastern Europe","72","5.517","1.27964","1.05163","0.68098","0.41511","0.18519","0.08423","1.81985","0"
"Estonia","","66","5.6110000610352","1.3208793401718","1.4766710996628","0.69516831636429","0.4791314303875","0.09889081120491","0.18324892222881","1.3575086593628","1"
"Estonia","","63","5.739","1.2","1.532","0.737","0.553","0.174","0.086","","1"
"Estonia","","55","5.893","1.237","1.528","0.874","0.495","0.161","0.103","","0"
"Ethiopia","","134","4.286","0.336","1.033","0.532","0.344","0.1","0.209","","0"
"Ethiopia","","127","4.35","0.308","0.95","0.391","0.452","0.146","0.22","","0"
"Ethiopia","","119","4.460000038147","0.33923384547234","0.86466920375824","0.35340970754623","0.40884274244308","0.31265074014664","0.16545571386814","2.0157437324524","0"
"Ethiopia","Sub-Saharan Africa","115","4.508","0.29283","0.37932","0.34578","0.36703","0.1717","0.29522","2.65614","0"
"Ethiopia","Sub-Saharan Africa","122","4.512","0.19073","0.60406","0.44055","0.4345","0.15048","0.24325","2.44876","0"
"Finland","Western Europe","6","7.406","1.29025","1.31826","0.88911","0.64169","0.41372","0.23351","2.61955","1"
"Finland","Western Europe","5","7.413","1.40598","1.13464","0.81091","0.57104","0.41004","0.25492","2.82596","1"
"Finland","","5","7.4689998626709","1.4435719251633","1.5402467250824","0.80915766954422","0.61795085668564","0.24548277258873","0.38261154294014","2.4301815032959","1"
"Finland","","1","7.632","1.305","1.592","0.874","0.681","0.393","0.202","","1"
"Finland","","1","7.769","1.34","1.587","0.986","0.596","0.393","0.153","","1"
"France","","31","6.441999912262","1.4309234619141","1.3877768516541","0.84446585178375","0.47022211551666","0.12976230680942","0.17250242829323","2.0059547424316","1"
"France","Western Europe","32","6.478","1.39488","1.00508","0.83795","0.46562","0.17808","0.1216","2.4744","1"
"France","","23","6.489","1.293","1.466","0.908","0.52","0.176","0.098","","1"
"France","Western Europe","29","6.575","1.27778","1.26038","0.94579","0.55011","0.20646","0.12332","2.21126","1"
"France","","24","6.592","1.324","1.472","1.045","0.436","0.183","0.111","","1"
"Gabon","Sub-Saharan Africa","143","3.896","1.06024","0.90528","0.43372","0.31914","0.11091","0.06822","0.99895","0"
"Gabon","Sub-Saharan Africa","134","4.121","1.15851","0.72368","0.3494","0.28098","0.09314","0.06244","1.45332","0"
"Gabon","","118","4.4650001525879","1.1982102394104","1.1556202173233","0.35657858848572","0.31232857704163","0.043785378336906","0.076046787202358","1.3229162693024","0"
"Gabon","","103","4.758","1.036","1.164","0.404","0.356","0.052","0.032","","0"
"Gabon","","104","4.799","1.057","1.183","0.571","0.295","0.055","0.043","","0"
"Gambia","","120","4.516","0.308","0.939","0.428","0.382","0.167","0.269","","0"
